,0,1,2,3,4,5,6,7,8,9,10,11
638,Tia1,Klrb1b,Tent5c,Map1b,Upf2,Gamt,Car3,Prpf40b,Lat2,Sell,Klf7,Msln
639,Cyp2d34,Themis2,Rasgrp3,Mef2c,Wbp4,Calcb,Tie1,Upf2,Col6a2,Arhgdig,Zbtb20,Itgam
640,Exph5,Lpxn,Ltb4r1,Rogdi,Fes,Gm34030,Dhx30,A130010J15Rik,Pan2,Runx3,Adamts1,Gtf2h4
641,Pcsk6,C2cd3,Ncf4,Fez1,Apc,Agtpbp1,Adamts5,Lmln,Rnf34,Flt4,Plch2,Ackr1
642,Tmem268,Zc3h13,Iigp1,Nrtn,Wdr6,Cttnbp2,Apoc1,Banp,Rasd2,Adamts7,Grik5,Zfp106
643,Zc3h8,Tap1,4931414P19Rik,Per1,Lpl,Spdef,Mapk8ip1,Armcx1,Tbce,Cd19,Ulk2,Rbms1
644,Strip2,9430065F17Rik,Myo1g,Nab2,Aldh1a2,Impdh1,Entpd1,Uvssa,Mndal,Srpk3,Camp,Adamdec1
645,Scml4,Tek,Wdfy4,Etv1,Dnmt3a,Ces2c,Cav3,Arrdc2,Prelp,Adig,Impdh1,Creld1
646,Ankrd44,Akap8,Ackr3,Laptm5,Glmn,Pla2g2f,Gpc3,1700029I15Rik,Fap,Pnmal1,Chodl,Trim39
647,Mycbpap,Ptprb,Rad50,Ighm,Cybb,Evc2,Lrch2,Ppwd1,Cd48,Tagln3,Trim44,Pdgfrb
648,Tbl3,Rsbn1l,Pirb,1810065E05Rik,Polr3b,Scoc,Tmprss5,Hoxa5,Orc1,Fst,Grem2,Rnf34
649,Kctd14,Slc17a9,Pecam1,Ppm1f,Fndc1,Fam50a,Fxyd7,Slc27a2,Ror1,Rsad2,Sez6l,Cd34
650,Rac2,Cxcl9,Fgd5,Fendrr,Actn1,Lrch2,Adipoq,Rbm8a2,Lsp1,Ifi209,Aebp1,2410006H16Rik
651,Ccl17,Flcn,Sgo2a,Slc1a4,Ltbp1,Fasn,Galr2,Lcp1,Tdp1,Ugdh,Colq,Lin37
652,Angptl8,Srek1,Prg2,Gbp2,Tbc1d24,Ret,H2-Oa,Shisa7,Dna2,Dmkn,Matn2,Slc25a37
653,Dek,Gimap1,Rsbn1l,Igf2,Ramp2,Chrdl1,Zfhx3,Wbp4,Renbp,Mok,Unc5a,Tgfb3
654,Ccn3,Zfp459,Ctsw,Fabp4,Exosc3,Nap1l5,Bend5,Gin1,Rbm33,Dtx1,Fyn,Tuba1a
655,Ttll10,Mmrn2,Tmem108,Muc4,Pear1,Fbn1,Cox4i2,Jag1,Il10ra,Steap4,Gadd45g,E2f2
656,Rabgef1,5830408C22Rik,Nlrc5,Cfp,Serpina3n,Lrrn2,Srpx,Actn1,Sla,Sez6,Mmp17,Snapc4
657,Pstk,Col15a1,Zfp874a,Arhgap24,Vps33b,Cgref1,Lepr,Pdlim5,1700030K09Rik,Ccl24,Pamr1,Hsd11b1
658,9430065F17Rik,Ltb4r1,Snhg10,Agtpbp1,Gabpb2,C1qc,Mdfic,Chrnb4,Cbx1,Fam72a,Fsd1l,Igflr1
659,Trim44,Hinfp,Pced1b,Pcdh7,Prpf39,Chl1,Elk3,Ipo9,Angptl8,Msr1,Gja1,Mdfic
660,Cc2d2a,2810410L24Rik,Otud3,Tnfrsf11b,Utp15,Ryr2,Adgrl1,Intu,Hspe1-rs1,Minar2,Meis2,Kctd13
661,Trim7,Plcg2,Usp33,Hsd11b1,Hcls1,Snrpn,Fmo1,Sval1,Itgb7,Rap2b,Dhx30,Fam102b
662,Thbs1,Abcc1,Nuak1,Itm2a,Orc1,Chn1,Shisa3,A930024E05Rik,Gm10501,Map3k15,Fam219b,Ifrd1
663,Hps4,Calcb,Zscan20,Dock9,Trbc1,Arhgap24,Napsa,Tnfrsf13b,Irf5,Il7r,Lrsam1,Fam49a
664,Ccdc85c,Hist1h1d,Cdh5,Tagln3,Gcc1,Klhl21,Plekhb1,Nfat5,Ripor2,Pcsk1n,Fstl3,Ncoa7
665,Tff2,Ccdc14,Irgm2,Aatk,Ddx52,Resp18,Jam2,Prlr,Tmem154,Sox12,Acbd4,Trim47
666,Car4,Zfp597,Nhlrc1,Psip1,Tle2,Adamts1,Pld4,Megf9,Zfp58,Fcrla,Sycn,Tbce
667,Tbc1d10b,Kif21a,Vav1,Casp12,Igf1,Rasl12,Slc22a17,Ifitm2,Lpxn,Ighg1,Smoc2,Rbm4b
668,Apol9b,Zfp874a,Unc45b,Elovl5,Pus7,Srpk3,Gsta3,Chdh,Syt15,Morn4,Arrb2,Col1a2
669,Zfp459,Shank3,Lonrf1,Pf4,Dph5,Faim2,Vegfc,Snapc1,Apbb1ip,Haao,Adgrg6,Rad50
670,Kif23,Gimap5,Ghrl,Dtx1,Hkdc1,Caly,Prnp,Tead4,A930024E05Rik,C2cd4b,Gramd1a,Rfc3
671,Olfr78,Il1b,Ddx52,Sh3gl1,Telo2,Tmx4,Ppfibp1,Zfp820,Rtn4rl1,Nlgn3,Agtr1a,Ddx52
672,Apoc3,Msr1,Gm37305,Fads3,Cd34,Id4,Cp,Snhg10,Dock2,Nr2f1,Axl,Adgrg3
673,C2cd2,Ms4a7,Abcd2,Mrc1,Ppard,Map6,Adcy7,Ercc6,Cep78,2810410L24Rik,Calcrl,Bmp5
674,Hmgn3,Fnip1,Ikzf1,Tmem132a,Pigv,Tubb2b,Dse,Poglut2,Hhex,Tceal5,Rbpms2,Igfbp6
675,Sdf2l1,Kctd13,Cxcr6,Ptger1,Yes1,Polr3h,Ppm1f,Nr4a1,Cdc6,Pclo,Elp2,C2cd3
676,Ttf2,Orc3,Lmln,Dbh,Trf,Znrf1,Ltb,Nav2,Amdhd2,Rad54b,Smarcd3,Dok2
677,Jag1,Tmem273,Rad52,Sfrp5,Cramp1l,H2-Ab1,Mn1,Mical1,Mmp9,Hhatl,Rcan2,Zc3h8
678,Gnl3l,Gbp7,P2rx7,Cdc20,Ccl12,Kit,Nudt3,Akna,Zfp459,Gng4,Plin4,Ctla2a
679,Foxn2,Arhgap22,Traf3ip3,Cbarp,Tap1,Iglc1,Ephb3,Bach2,Hinfp,Tenm4,Ackr1,Agtpbp1
680,Fbxo46,Gm47283,Mok,Lrrn2,Trip6,Dusp14,Serpine2,Fam219b,Gins3,Higd1b,Nlgn3,Fam219b
681,Cdkn1b,Mtmr10,Zfand1,Adamts1,Scd1,Zfp707,Slc36a1,Ifi203,Lax1,Myom1,Gamt,Matk
682,B230354K17Rik,Exph5,Tmem173,Klhl21,Il10ra,Jmy,Tubb3,Map3k15,H2afx,Rims1,Wscd2,Orc3
683,Isg15,Ly6g,1700029I15Rik,Rab3il1,Zfp280d,S100a14,Grap,Pik3r5,Gbp7,Kcnk3,Poglut1,Scand1
684,Rap2b,Orc1,Spaca6,Pyy,Vcam1,1110051M20Rik,Fez1,Ly6d,Plekho2,Hspb7,Rgs1,Leo1
685,Bdkrb2,Gata2,Sash3,S100g,Clca3a1,Nrtn,Pcdh7,Zfp874a,H2-Ob,Disp2,Coro1a,Ramp2
686,Qtrt2,Tssk4,Ttll10,Zfp523,Cldn12,Bglap,Tek,Gtf2h4,Anpep,AB124611,Dixdc1,Apobec1
687,Bcas3,Bcl2a1a,Mga,Nme6,Abraxas1,Htr3a,Renbp,Csnk1g1,Gm4924,Ighd,Nab2,Psip1
688,Bod1l,Gm20939,Ptprb,Serpina3n,Rad50,Mical1,Spon1,Ccl12,Frem2,Lgi2,Krt17,Pik3ip1
689,Hspe1-rs1,Igtp,Lrrk2,Hmgn3,Fam135a,Tmem259,Gjc2,Bod1l,Pear1,I830077J02Rik,Fbxl22,Aebp1
690,Arhgap9,Sgo2a,Il17rb,Rbms3,Map3k5,Cend1,S1pr1,N4bp2os,Fam72a,4930503L19Rik,Fxyd5,Polr3b
691,Orc1,Shprh,C1ra,Tmx4,Egfl7,Rcc2,Adam11,Gsdmc4,Sncaip,Kcnmb1,Klhl23,2900076A07Rik
692,Utp15,Ip6k2,Gpr183,Tspyl4,Usp49,Tac1,Gfpt2,Lonrf1,Fgf10,Sntb2,Rprd1a,Glmn
693,Trim21,Tmem259,Adam8,Wfdc18,Trbc2,Syt5,Sulf1,Vps13c,Elp6,Nav2,Arhgap22,Fbxo22
694,Borcs5,Cxcr5,Cybrd1,Vsir,H2-DMa,Zfp219,Mmrn2,Fgf10,Wipf1,Car3,Foxp2,Cxcl9
695,Dhx33,Fendrr,Flt3,Nsg1,Rbm34,Steap4,Htr3a,Selenom,Nhej1,Rhoh,Adamts5,Cxcl10
696,Hspa1b,Celf3,Prpf39,Sh3pxd2b,Wapl,Kif5a,Fgf10,Xpo4,Ccl2,Lbp,Cdh6,Snapc1
697,Hinfp,C430042M11Rik,Fnip1,Tmem259,Armc1,Pxdc1,Podxl,Insrr,Dennd4a,Cavin1,Srpx,Ltb4r1
698,Duoxa2,Dis3l,mt-Nd6,Plat,Clec2e,Egfl7,Kcnip4,Klf15,Dctn5,Tmprss5,Gga2,Zc3h13
699,Oxr1,Eno3,Syt7,Ptbp2,C9orf72,Hoxa10,Cadm3,Gpr183,Ccdc149,Tspyl3,Pyy,Cldn5
700,Fktn,Rasgrp3,Rhoh,Polr3h,Wdr12,Cav2,Ccl24,Bst2,Kat8,Xk,Glipr2,Colec12
701,Plcg2,Ppp1r15a,Cd40,Notch3,Tctn3,Cacna1d,Igf1,Nhlrc1,Fcrla,Zfp58,Elp3,Nr4a1
702,Xpo4,Cyp4b1,Abcc6,Renbp,Bod1l,Mzb1,Ctxn3,Strip2,Dock9,AI854703,Ptp4a3,Sltm
703,Tctn3,Pla2g6,Folr2,Prap1,Ackr3,Tm4sf1,Enpp3,Cdkn1b,Igflr1,Slc6a13,R3hdm1,Fads1
704,Tnrc6b,Gimap8,C2cd3,Adamts10,Lifr,Pde2a,Gucy1b1,Tmem268,Zbtb48,Olfml1,Sod3,Polr3h
705,Sclt1,Brd8,Lat,Tpd52l1,Alkbh8,Cbarp,Ryr2,Card11,Cytl1,Enpp3,Mir100hg,Arhgap24
706,Rogdi,Msln,Hhex,Neurl1a,Borcs5,Kptn,Nxpe4,Scgb3a1,Cd93,Ngfr,Fbln5,Xcl1
707,Hs2st1,Mmp12,Btla,Mmrn2,C3ar1,Nab2,Gramd1a,Fap,Brf1,Syt5,Spon1,B4galt5
708,Bcl2a1b,Celf6,Osr1,Nog,Glrx,Vsir,Cdh5,Ripor2,Cd52,Kcna2,Gm11946,Mars
709,Slc12a8,Zzz3,Dennd3,Olfml3,Lcorl,Ssh1,Adig,Bmp5,Ccdc14,Gm4924,Snn,Rbm34
710,Lonrf1,Nos3,Csnk1g1,Sult4a1,Foxn2,Snap25,Plat,Ighg3,Wnt4,Ms4a4c,9330158H04Rik,Steap4
711,Fbxl8,Higd1b,Zfp459,Pirt,Polm,Prpf40b,Cyp2e1,Traf2,2610008E11Rik,Vill,Wbp4,Ddi2
712,Cpsf6,Nlrc5,Cr2,Sox10,Ptprd,Tubb4a,Sox18,Chsy3,Hps4,Madcam1,Adra2a,Hexb
713,C630043F03Rik,Myo1f,Emb,Gng3,Tnfrsf1b,Ncam1,Cd79a,Gadd45g,Nckap1l,St3gal2,Matk,Mmrn2
714,Pus7,Abcc6,H2-Ob,Slc43a3,Ptbp2,Ppm1f,Slc43a3,Cyth4,Arhgap4,Gpr132,Epha7,Prpf40b
715,Plcg1,Zfpm1,H2-Oa,Pcbp3,Zfp532,Nme6,Olfm1,Apbb1ip,Hvcn1,Magee1,Eln,Ecm1
716,Gimap1,Nom1,Per1,Fat4,Polr3h,Pitpnm1,Rtl8b,Plcg1,Tgm3,Arl5c,Prpf40b,Cmah
717,Ppp1r15a,Ly86,N4bp2os,Evc2,Cdk5rap2,Tnfrsf11b,Cyth4,Gm13261,Lyl1,Arl4d,Itga9,Slc2a3
718,Abcc1,Runx3,Igtp,Rgs7bp,Csnk1g1,Pcsk2,Smpx,Gbp6,Bank1,Marveld1,Limd2,Slco3a1
719,Zfp58,Tie1,AU020206,Paqr7,Rab26os,Rdx,Hp,Abcc6,Tbp,Phox2b,Moxd1,Dbn1
720,Pcsk4,Cd84,Tbc1d10b,Gap43,Otulinl,Cotl1,Kcnn3,Tnfrsf1b,Gm7160,Ccl17,Sirpa,Abi3bp
721,Ccl22,Tmem108,Dctn5,Znrf1,Sema7a,C1qtnf9,Podn,Gm4924,Nr2f1,Itln1,Aldh1a3,Eipr1
722,Emsy,Neurl4,Zgpat,Emp1,Pla2g2d,Tmem179,Ptprb,C9orf72,Ghrl,Ccl22,Arf2,Etv3
723,5830408C22Rik,mt-Nd6,Ppwd1,Hacd4,Ttf2,Rtn4rl1,Igf2,Tle2,Nlrc5,Ryr3,Fam13c,Rcn1
724,Abcc8,Klk1b4,Cxcl14,Tie1,Plxnd1,Vtn,Kcna2,Rnase6,5730480H06Rik,Adgrg3,Hhatl,Pprc1
725,Kcnh3,A230059L01Rik,Zfp760,Rassf2,Dkk3,Kif1a,S1pr3,1700030K09Rik,Lyrm7,Il1rl1,C4b,Gli1
726,Ccl9,A930024E05Rik,Gbp6,Abi3bp,Dhx33,Rundc3a,Ngf,Ptbp2,Msr1,Nlrc5,Chrdl2,Vamp1
727,Kat2b,Itgal,Ccdc88b,Bmp4,Hck,Sh3gl1,Per1,1110019D14Rik,Snx18,Mmp12,Rhoc,Smc2
728,Bmp2,Arhgef38,Msln,Pfn2,Tmem252,Amdhd2,Crlf2,Csf1,Ly6c1,Myo5b,Sstr2,Fbxl14
729,Gcfc2,Firre,Egr1,Pcsk1n,Dpy19l1,Trim35,Mzb1,Klhl21,S100a4,Shank3,Zeb2,Dffb
730,Map3k15,Cxcr6,Hoxa2,Chrm2,Ifi27l2a,Tcf4,Thrsp,Sirt1,Rgl1,Dusp14,Npy4r,Polm
731,Zfp668,Rabl2,Fcrl1,Insl5,Gimap3,Grik5,Gpm6a,Rasal3,Mmp2,Flt3,Gsn,Cenpa
732,Rfc4,Apoa4,Itgam,Bnip2,Notch3,Crlf2,Cd209f,Kcnq1ot1,Sell,Scn3a,Cap2,Trim21
733,Mypop,Sox18,Slc15a2,Pi16,Ptprc,Hacd4,Sirpa,Cacna1b,Nrros,Bach2,Msrb3,Wdr5
734,Zfp820,Upp1,Il2rg,Scoc,Nup155,Dkk2,Lyz1,Baz1a,Ung,Vtn,Ppp1r15a,Flt4
735,Pfas,Phka2,Mllt11,Cdh5,Atxn3,Col20a1,Ighd,Ube2d1,Adssl1,Sox17,Rgl1,Ass1
736,A4gnt,Zscan26,Haao,Capg,Rfx1,Plekho2,Chrdl2,Asb3,Aspn,Apbb1,Pip4k2b,P2rx7
737,Baz1b,Ifi209,Ccl17,Podxl,Qpctl,Npnt,Gamt,2610008E11Rik,Trmt9b,Fbxo46,Dock10,Mmp7
738,Gm20939,H2-Aa,Uvrag,Krt17,Prpf3,Rhob,Prdm6,Znrf1,Hilpda,Hspb2,Adgrd1,Nfat5
739,Kdr,Ighg2c,Adgrb1,Rasa4,Kdr,Slc9a3r2,Cd2,Trmt9b,Ighg2b,Ccl2,Frmd6,Rtn1
740,Lmln,C4bp,Tnfrsf13c,Irgm2,Angptl8,Ly6h,Fyn,Zfp992,Xpo4,Lhfpl5,Hoxb6,Col6a1
741,Sstr2,Fam72a,Rasal3,Smoc2,Ntn1,Rab6b,Adamts1,Phf3,Rhoh,A930024E05Rik,Arl4d,Megf6
742,Nup43,Banp,Susd3,Lgi2,Dab2,Capg,Tmem259,Nrros,Kirrel,Nhlrc1,Ccl21a,Prpf39
743,Slc20a1,Klhl6,Irf5,Coro1a,Xcl1,Syp,S100b,Ostm1,Serping1,Gm28151,Fasn,Fendrr
744,Tbc1d24,Stc2,Ccr10,Nap1l5,Bex2,Ro60,Tmem173,Eipr1,Abraxas1,Chsy3,Ppy,Nol6
745,Tagap1,Flt3,Syt6,Cytl1,Togaram1,Zwint,Tnfrsf11b,Vav1,Dennd2a,Ppwd1,Abcc8,Rrm2
746,Supt16,Ssu2,Ccl2,Fst,2810004N23Rik,Fmod,Mia,Snx18,Cdk5rap2,Gzma,Pdyn,Zdhhc8
747,Zfp760,Gpr132,Myoc,Casc4,Igfbp7,Aplp1,Itgb7,Rasef,Uvssa,Klk1b4,Btbd9,Lepr
748,Elp6,Ccl22,Dnmt3a,Ryr3,Heg1,Ctla2a,Galk1,Arid4a,Ppwd1,Cxcr6,Wdr12,Col6a2
749,Greb1,Plcg1,Vps13c,Bicc1,E230001N04Rik,Ryr3,Nab2,Igf1r,5830408C22Rik,Bhlhe41,Gpr19,Metap1d
750,Kif12,Bcl2a1b,Ms4a4c,Nkain4,Zfp956,Tm4sf4,Vcam1,5830408C22Rik,Cd84,Ms4a4b,Zfp523,Aldh1a3
751,Glmn,Cyp2f2,Acsm3,Acta1,Rbm15b,Iglc3,Schip1,Sdf2l1,Vps13c,Syt17,Elovl5,Prkar1b
752,Fst,C3ar1,Ighg3,Ncam1,Podn,St3gal4,Mmp9,5730480H06Rik,Pcdh7,Cdc6,Ampd2,Amdhd2
753,4931414P19Rik,Def6,Ifi209,Inmt,Shprh,Ly6c2,Dennd2a,Sox17,Sorcs2,Apol9b,Igfbp5,Hps4
754,Mettl16,Alg11,Npy,Epdr1,Ptprb,Acsl6,Sh3pxd2b,Ap4b1,AB124611,Traf3ip3,Id4,Zzz3
755,Pard3b,Ms4a6b,Bach2,Pcolce2,Gimap4,Mapk8ip2,Stmn1,Lax1,Ccl12,Tshz2,Arhgap23,Rab3il1
756,Mcub,Gm20522,Fam72a,Ache,Stx18,Gfap,Hacd4,Klk1b4,Bin2,Ssu2,Zcchc24,Piwil4
757,Il17rb,Cd209a,AB124611,Spock2,Cd1d1,Casp12,Ctse,Spns2,Zfp106,Tmod2,Fzd2,Pcolce
758,Mmp13,Ppwd1,Plvap,Sorbs3,Zfp992,Scg5,Col15a1,Dcaf10,Tnrc6b,Tmem273,Rnf34,Dck
759,Sept1,Ace,Il1rl1,Mars,Gcfc2,Nnmt,Igf1r,Cd84,Zfp820,Defb45,Ipo9,Clca4b
760,Zgpat,Cdh5,Gimap8,Ly6h,Tbc1d31,Gramd1a,Itprip,Tdp1,Cdc20,Ret,Col4a2,Scai
761,Lpxn,Fbxl14,Bank1,Pxdc1,Clec3b,Zgpat,Bnip2,Ehd4,Mmp23,Arsi,Scd1,Selenon
762,Snx18,Nuak1,Parp8,Ace,Icam1,Isg15,Ccr2,Mmp7,Sgsm2,Cox8b,Ltbp4,Ube2d1
763,Spire1,Zfp760,Birc2,Kptn,Nrros,Ank2,Chl1,Bcap29,Ccl21a,Gins3,Ccn1,R3hdm1
764,Zfp597,Zgpat,Fes,Rspo3,Tkfc,Gm48898,Gjc1,Pcsk4,4931414P19Rik,P2rx2,Ppie,Uhrf1
765,Snhg5,Chsy3,Sox17,Tubb4a,Cyth4,Hmgn3,Myo1g,Gpr19,Hsd11b1,Nuak1,Rbms1,Gabpb2
766,Banp,Col5a3,Ncf1,Tbl3,Nab1,Clec3b,Metrn,Pld2,Sgo2a,Cep78,Cav3,Slc39a13
767,Agbl5,Lipe,Cd209a,Prkar1b,Inpp5d,Arhgap23,Pxdc1,Zbtb11,Tbc1d10c,Mapk8ip2,Wdr35,Ankrd16
768,H2-Q6,Baz1b,Nfat5,Crlf2,Mmrn2,Iglc2,Sorbs3,Prom1,Leo1,Wipf3,C1qtnf3,Nab1
769,1700030K09Rik,Trpv6,Xcl1,Car11,Sema4d,C1qtnf1,Nrip2,Def6,Gpr183,Syt15,Chgb,Gbp2
770,Pik3ap1,Gm7160,Adssl1,Tff2,Hoxb5os,Gprasp1,Sema3g,E230001N04Rik,Lilr4b,Leng9,Znrf1,Rab34
771,Egln3,Pou2af1,Zfp820,Icam2,Elp2,Coro1a,BC034090,Peli3,Olfml1,Eml1,Arhgef28,Gm1673
772,Gm47283,Bod1l,Dck,Bex2,Dcn,Slc18a3,Unc93b1,Lrp4,Ccr7,Reck,Ublcp1,Hif1a
773,Muc4,Ttf2,Chsy3,Itprip,Ubiad1,Hpd,Calcrl,Foxk1,Ntn1,Actn1,Igf1r,Ercc6
774,Mpp3,Rad52,Sclt1,Chl1,Nudt13,Ephb3,Sgcb,Zc3h13,Med12,Chl1,Jag2,Tpx2
775,Cybrd1,Prpf4,Rasgrp4,Ccdc9b,Prpf40b,Sfn,Fhod3,2900093K20Rik,Tcf4,Sntb1,Satb1,1700030K09Rik
776,Xpo1,Mir17hg,Ccl22,Ret,R3hdm2,Col5a3,Kirrel,Cd79b,Parp8,Hpgd,Tspyl3,Snhg16
777,N4bp2os,Fgd5,Renbp,Celf2,P2rx7,Prdm6,Sprr2a3,Msc,Sesn3,AW551984,Chil1,Tspan33
778,Yipf2,Gbp6,E130317F20Rik,Rnase4,Eva1b,Dennd2a,Cxcl12,Zfp668,Tmem273,Lmln,Col6a3,Fam50a
779,Nfkbie,Zfp58,Gm4924,Cpn1,Mndal,Scg3,Aatk,Pld4,Dnmt3a,Chrdl1,Zfhx3,Gm15848
780,Tap1,Mok,Msc,Ifitm1,Jmy,Itprip,Cd68,Dlk1,Cdh6,Dhdh,Rgs19,Sec16a
781,Brf1,Adam8,Sag,F13a1,Snapc4,Sertad4,Ccr7,Map4k1,Usp33,H2-Q1,Kcnmb1,Xpo4
782,Mmp7,Mypop,Dennd4a,Eno2,Itgb2,Per1,Snhg16,Traf3ip3,Vwf,Gata2,Slc27a1,Spire1
783,Sez6l2,Lilr4b,Apoa1,Gamt,Zbtb48,Zcchc12,Dpysl3,1810026B05Rik,Srgn,Iigp1,Tgm2,Shprh
784,Car3,Rps6kb1,Vcam1,Cadm3,Slc10a2,Fgf10,Nhsl2,Zscan20,Sox17,Cdk14,Fst,Fabp6
785,Ubiad1,Sppl2b,Cps1,Ngf,Megf9,Adamtsl1,Vip,Ptch2,B4galt5,Wdr35,Kctd13,Foxn2
786,Gm4924,Bnip2,Acvrl1,Vtn,Mga,Adgrb2,Olfml1,Arsg,9430065F17Rik,Retnla,Sgsm2,Gprasp1
787,Clca4b,Gfi1,Pld4,Tmem59l,Rcsd1,Sppl2b,Notch3,Birc3,Zfp992,Chn1,Dmd,Itga9
788,Utp14a,Wipf3,Arsi,Tmem179,Fnip1,Rab3il1,Arsi,Wfdc2,Tm6sf1,Msc,Ntn1,Rad52
789,Il1rl1,Kat8,Zfp106,Igf1,Sclt1,Nefl,Lifr,Armc1,Scgb3a1,Rbm8a2,Tgfb3,Mrc2
790,Ipo9,Cyp4f18,Nudt13,Pear1,Elp6,Mars,Itga4,Zfp459,Myo1f,Il17rb,Tgm3,Rrm1
791,Rab11fip2,Mir142hg,Ccl12,Dab2,1600020E01Rik,Dbh,Rgs19,Rasgrp4,Gm28151,Zfp820,Myl4,Lrig2
792,Vars2,Tead4,Kif5c,Dip2c,5730480H06Rik,BC034090,Lyl1,Pip4k2b,Hcls1,Cd209g,Adgra2,Telo2
793,Zscan20,Cpsf6,Map3k15,Mia,Igfbp4,Pmp22,B3galnt1,Pcsk1,Rprd1a,Bglap3,Rbp4,Mal
794,Mcoln2,Adipoq,Nr2f1,Ahnak2,Stox2,Rbms3,Rnf144b,Evi2a,Fmnl1,Fgf10,Col6a2,Cd93
795,Rprd1a,Sla,Slc6a13,Kif1a,Dok1,Kcnq1ot1,Nme6,Nme7,Tnrc6a,Nog,Pde4b,Abraxas1
796,Snhg10,Nckap1l,Fgr,Trf,Peli3,Rcn1,Lrrn2,Lat2,Gpsm3,Fut9,Kcnip1,Mmrn1
797,Ccdc14,Cdh13,Nhej1,Rgl1,Sipa1,Tbl3,Rbms3,Fgr,Taf6l,Serpini1,Acsl6,Zbtb11
798,Tifa,Notch4,Car5b,Bend5,Utp14a,Hspa1b,Rcan2,Ikzf1,Cdk14,S1pr3,Dctn5,Dhx33
799,Dennd4a,Gbp8,Blk,Vat1l,Tbl3,Aqp4,Icam1,Ms4a4b,Rasgrp4,Scgb3a1,Spire1,Itpr2
800,Fosb,Sik1,Il22ra2,Shisa3,Igflr1,Fhod3,Cd53,Kat8,Bahd1,Sspn,Lama5,Hlx
801,Rab26os,C630043F03Rik,Lyz1,Egflam,Cd48,Retn,Gnao1,Il10ra,Ighg2c,Zfp459,Slc12a4,Cdh11
802,Crlf2,Btla,Nmu,Rgs4,C2cd3,Kirrel,Rcsd1,Lcp2,1700029I15Rik,Il4i1,Tent5b,Ttf2
803,E130317F20Rik,Tnfrsf1b,Il16,Sirpa,Selplg,Hap1,H2-Ob,Rabl2,Asph,Slc6a17,Cav2,Tmem191c
804,Scai,Ly6c1,Enpp3,Elp3,Sstr2,Nptxr,Susd3,Adig,Mettl5,Prelp,Gm48898,Eln
805,Peli3,9230112E08Rik,Rprm,Scg3,Armcx1,Higd1b,Epha7,Lrrk2,Siglecg,Clba1,Acaca,Riox1
806,Msc,Hepacam,A930024E05Rik,Aldh1a3,Pfas,Rgs4,Arhgap23,Zfp597,Iigp1,Lilr4b,Slc39a13,Nuak1
807,Stx18,Lcp2,Sell,Gja4,Birc3,Slpi,Nav2,2810410L24Rik,Ncf1,Sox10,Ryr2,Asap1
808,Nfat5,Il7r,Birc6,Me1,Iapp,Cldn15,Alox5ap,Dnmt3a,Mcf2l,Prg2,Cdc42bpb,Taf6l
809,Gimap6,Nr2f1,Ccl25,Gli1,Cd53,Gm1673,Plp1,Adam8,Rsbn1l,Ido1,Eno3,Prpf4
810,Casc4,Gm4924,Cd22,Gpihbp1,Yod1,Crabp1,Hpn,Gm17025,Mga,Rian,Kif22,Mfap5
811,Bambi,Zfp532,Ankrd28,Rcsd1,Apol7c,Ighm,Tnc,Notch4,Wapl,Tube1,Sorcs2,Col5a3
812,Spc25,Tmeff2,Siglecg,Zbtb38,Col8a1,Gtf2h4,Myoc,Fut9,Hoxd10,Cytl1,Adam33,Tent5c
813,Igflr1,Gins3,Higd1b,Tle2,Kat8,Dixdc1,Ptbp2,Galnt15,Cd2,Iglc3,Kit,Arrdc2
814,Vps13c,Pkn3,Cxcr5,Scgn,AW112010,Cfp,Rgs4,Adssl1,Rbm8a2,Nrip2,Tmem108,2610008E11Rik
815,Ppard,Evi2a,Hoxa5,Prpf40b,Slc43a3,Vat1l,Pirb,Madcam1,Tspan32,Gm11946,Col8a1,Jmjd7
816,Birc3,Gimap6,9230112E08Rik,Prss23,Csf2rb,Rasa3,Serpina9,Sncaip,Phkb,Epdr1,Mamdc2,Abcc1
817,2810004N23Rik,Rad54b,Cd209g,Srpk3,Ighm,Sox12,Gli1,Ric1,Gcc1,Igf2,Col6a1,Zcchc24
818,Tmem108,Ighg2b,Gm10501,Armcx2,Lcp2,Nmu,Mfng,Tmem273,Kif12,Adgrd1,Stk39,Tek
819,Ccna2,Gcfc2,Clca4b,Ccn1,Akna,Irgm2,Fam13c,Zfp512,Pced1b,Syt11,Carmil3,Usp38
820,Pik3cd,Ncf4,Tbce,Fzd9,Zfp958,Mn1,Ryr3,Insl6,Madcam1,Tead4,Cetn4,Wfdc17
821,Ptprc,Sclt1,Evi2a,Ank2,Rnase6,Syngr3,Cd209g,P2rx1,Grap,Creb5,Ahnak2,Agbl5
822,Wnt4,Nhej1,Trbc1,Plxnb1,Acvrl1,Cd74,Gimap6,Slc25a37,Clca4b,Rras,Adgrb1,Sik1
823,Noc4l,Bin2,Cox4i2,Iglc1,Gimap9,Agtr1a,Syn2,Mtmr10,Ap4b1,Tuba1b,Upp1,Sparc
824,Utp20,Trmt9b,Akna,Zfp219,Il16,Sez6l2,Zfp707,Gcg,Ifi203,Ache,Col5a3,Clca3a2
825,Ubd,Ttll10,Neurod1,C1ra,Mettl14,Afap1,Nog,Dpy19l1,Il16,Fibin,Snapc1,Ric1
