,GF,SPF
226,Igfbp3,Stmn2
227,Lcp1,Fcna
228,Mafb,Rnf186
229,Ubd,Sult1a1
230,Igfbp5,Acta2
231,Phlda3,Vill
232,Map1b,C1qtnf3
233,Dyrk1b,Asap1
234,Osr1,Chp1
235,Cd79a,Fndc1
236,Ttr,Sox9
237,Mfge8,Sgk2
238,Ankrd44,Birc5
239,Prkg2,Dkk3
240,Arhgap45,Serpinh1
241,Trim34a,Tnfrsf12a
242,Wdfy4,Fads1
243,Pigv,Mustn1
244,Rnf213,Itga5
245,2410006H16Rik,Pibf1
246,Pstk,S100a4
247,Cd37,Serping1
248,Pyy,Tpd52l1
249,Tln1,Penk
250,Arhgdib,Col4a2
251,Hoxd13,Slc20a1
252,Cdkn1a,Gsn
253,Ube2d1,Bex1
254,Speg,Tuba1a
255,Metrn,Iapp
256,Retnla,Rpl4
257,Sestd1,Abcg5
258,Pdlim5,Hkdc1
259,Slc46a1,Aspn
260,Slc13a2,Ano7
261,Etv3,Pitpnm1
262,Igtp,Ptprs
263,5830408C22Rik,Sparcl1
264,Adh1,C1qtnf2
265,Insl6,Hepacam2
266,Spag9,Optc
267,Mmp9,Acsm3
268,Fnbp1,Cyp2f2
269,Ptpn6,Ass1
270,C3,Pla2g4c
271,AI854703,Vip
272,Npc1l1,Tmem164
273,Traf2,Ncoa7
274,Sipa1,Auts2
275,Rab3a,Slc6a14
276,Rap1gap,Fgfr1
277,Enpep,Hsdl2
278,Atf3,Calb2
279,Tbc1d10c,Cdca7
280,Fcmr,Cdhr2
281,Ms4a8a,Cdk1
282,Fbxo22,Ifitm3
283,Pla2g2d,Mki67
284,Gamt,Marveld1
285,Ccdc88b,Rgs5
286,Malt1,Dgat2
287,Vstm2l,Top2a
288,H2-Oa,Sidt1
289,Egfl7,Gucy1b1
290,Enpp2,Myl9
291,Ly6g,Adra2a
292,Jakmip1,Gja1
293,Sval1,Ehd4
294,Rasd2,Stmn1
295,Slc17a4,Tspan6
296,Gbp7,Tubb3
297,Ddx60,Ms4a7
298,Flt3l,Tph1
299,Pmaip1,Timp2
300,K230015D01Rik,Cnn1
301,Grem2,Tuba1b
302,Ncf4,Gpam
303,Hoxb4,Knstrn
304,Zgpat,Ugt2b5
305,H2-Ob,Stom
306,Bmp1,Rrm2
307,Slfn2,Hpn
308,Fam129a,Lama5
309,Smndc1,Ehd2
310,Tinagl1,Cartpt
311,Chdh,Gm13648
312,Trbc2,Procr
313,Trim21,Cmah
314,Rdh16,Cacna1h
315,Grik5,Ncam1
316,Pcp4l1,Ogn
317,Ptprc,Cfd
318,Anpep,Zfp217
319,Tnrc6b,Slc35d1
320,Tff2,B4galt5
321,Hlx,Ptprn
322,Cd22,Hilpda
323,Oxr1,Sec16a
324,Mgat4a,Dclk1
325,Rfesd,Casc4
326,Sept1,Pcolce
327,Shank3,Pclaf
328,Birc3,Klc1
329,Mpeg1,Fxyd7
330,Cldn12,Naip1
331,Myo1g,Fbn1
332,1700025G04Rik,Retn
333,Ciita,Unc93b1
334,Nkd1,Cd34
335,Spib,Gpt2
336,Cd19,Esam
337,Ms4a1,Itm2c
338,H2-Q6,Rbms2
339,Dnase1l3,Noxa1
340,Icam2,Cftr
341,Zfp503,Stk39
342,Asb13,Tgfb1i1
343,Trim30d,Fstl1
344,Vps33b,B3gnt9
345,Ppan,Crispld2
346,Ctla2a,Ppp1r9a
347,Srek1,Slc25a4
348,Naip5,Kcnh3
349,Tmem191c,Fcer1g
350,Iigp1,Cldn23
351,Map4k1,Olfml3
352,Clu,Ltbp1
353,Ghr,Rbp1
354,Ccl25,Serpinf1
355,Gimap6,F13a1
356,Il22ra2,Tmem37
357,Lamb2,Defb45
358,Kctd13,Mfap5
359,Pbld1,Cxxc5
360,Ltb4r1,Fcrls
361,Thbs1,Celf3
362,Sppl2b,Pik3c2a
363,Vpreb3,Thrsp
364,Csta1,Ffar2
365,Efna1,Ecscr
366,Hoxb8,Axl
367,Sntb2,Pcp4
368,Slc9a2,Gucy1a1
369,Rprml,Islr
370,Slc27a2,Glipr1
371,Rfx1,Trim47
372,Mrtfb,Sh3bgr
373,Uvrag,Galk1
374,Plekho1,Smim1
375,Trbc1,Pcsk1
376,Gzma,Cryab
377,Fosb,Nol6
378,Sh3tc1,Pdlim3
379,Pik3cb,Cspg4
380,Hcls1,Cavin1
381,Ccl22,Loxl1
382,Rasal3,Cd59a
383,Med12,Matk
384,Hhex,Galnt3
385,Fcer2a,AI838599
386,Gca,Cyp2c68
387,Slc25a37,Mpp3
388,Nrgn,Atp1a2
389,Rasa4,Reg3g
390,Malat1,Emilin1
391,Rac2,Sirpa
392,Dok3,Dennd5a
393,Itgb7,Slco2a1
394,Ccr7,Adamdec1
395,Acvr2a,Ezr
396,Scarf2,2410002F23Rik
397,Nt5e,Il6st
398,Cxcl10,Lgals12
399,Wfdc1,Lpcat1
400,Ccn2,B3gnt6
401,Nts,Selenon
402,Pcdh17,Podxl
403,Lsp1,Fbln1
404,Nfkbie,Clip3
405,A230059L01Rik,Actn1
406,Zzz3,Tac1
407,Jph2,Thyn1
408,Gpihbp1,Ighg2b
409,Gpr137b,Hbb-bt
410,Ikzf1,Arhgef38
411,Selplg,Fzd9
412,Ccl20,Racgap1
413,Lin37,Chrnb4
414,Itgax,Tbl3
415,Gimap3,Klhdc8b
416,Btla,Anxa6
417,Lmo2,Rgmb
418,Dok1,C1qc
419,Eps8,Asph
420,Madcam1,Mrc2
421,Sntg2,Gnl3
422,Slpi,Bhlhe41
423,Lat,Mfap2
424,Ccdc85c,Sorbs2
425,C330018D20Rik,Rapgef3
426,Rsbn1l,Sdc3
427,Ublcp1,Mrc1
428,Acpp,Rcc2
429,Gm2a,Hsd11b1
430,Arhgap9,Nmu
431,Akap8,Glipr2
432,Dtx1,Dnmt1
433,Pdzd8,Snhg15
434,Cd36,Prph
435,Sell,Melk
436,Rnf34,Nnmt
437,Ahnak2,1110051M20Rik
438,Chrdl1,Pcdh7
439,Nr4a1,Hdhd3
440,Ptger1,Plcb4
441,Egr1,Ccnb2
442,Fam219b,Acvrl1
443,Baz1a,Ces1e
444,2900026A02Rik,Hspb8
445,Amdhd2,Sh2d6
446,Icam1,Hmgb2
447,Tapt1,Smpx
448,Snn,Rtn2
449,Zfpm1,Ptpro
450,Itgb2,Aurkb
451,Zfp512,Slc43a3
452,Camk2n2,St6galnac2
453,Gpc3,Pln
454,Pde4b,Adamts10
455,Foxk1,Ltc4s
456,Kat8,Dab2
457,Dctn5,Csrp1
458,Hvcn1,Kcnh2
459,Zdhhc17,Dusp14
460,Foxf2,Hhip
461,S1pr1,Mab21l2
462,Kirrel,Col15a1
463,Polm,Pea15a
464,Aldh1a2,Igf1
465,Cxcr5,Dbn1
466,Blk,Pltp
467,Ncf1,Tent5c
468,Nudt3,Sorcs2
469,C2cd4b,Fxyd6
470,Gbp8,Plk1
471,Polr3h,Spns2
472,Fabp5,Entpd1
473,Khk,Slc12a4
474,Slc7a4,Fibin
475,Ifit1,C1s1
476,Gucd1,Tmem56
477,Taf12,Kctd14
478,Ptp4a3,Acaca
479,Il2rg,Irf4
480,Ly6h,Neurl4
481,Eipr1,Ackr4
482,Lyve1,Tle1
483,Gm20522,Gng10
484,Pi16,Dtx3
485,Atoh1,Fmo1
486,Fcrla,Pprc1
487,Kbtbd11,Mcm3
488,Cadm1,2010003K11Rik
489,Csf2rb,Pbk
490,Fes,Wnk4
491,Nom1,Frmd6
492,Cd53,Ankrd28
493,Acap1,Abi3bp
494,Lrg1,Tgfbr3
495,Lrmp,Igfbp4
496,Ip6k2,Lrrk1
497,Hoxa5,Gadd45g
498,Ldhb,Car3
499,Dis3l,Ccl8
500,Mga,Itm2a
501,Nlrc5,Baz1b
502,Rprm,Kcnn4
503,Gja4,Fxyd1
504,Slc26a3,Bicc1
505,Lhfpl2,Zcchc24
506,Prlr,Duoxa2
507,Hoxb13,Zeb2
508,Rbpms2,Dennd2a
509,Wbp4,Svep1
510,Fer1l6,Calcb
511,Grap,Arf2
512,Gimap4,Slc39a13
513,Ptprd,Piezo1
514,Il7r,Shisal1
515,Kcnk3,Pdlim7
516,Sgsm2,Ncald
517,Mylk,Tubb2b
518,Yes1,Il15
519,Gcnt2,Ly6c1
520,Fbxl14,Gask1b
521,Ttc9b,Chst12
522,Leo1,Dixdc1
523,Osbpl8,Uhrf1
524,Lyl1,Klf6
525,Traf3ip3,Srsf2
526,Nfat5,Tgm2
527,Ly6a,R3hdm1
528,Irf5,Prune1
529,Hand1,Hemk1
530,Rbm4b,Mical1
531,Prodh,Pdgfrb
532,Pirb,Eml1
533,Cr2,Prpf40b
534,Fendrr,Tifa
535,B9d2,Gng3
536,Hoxb9,Fbln5
537,Rel,Klhl23
538,Des,Col12a1
539,Msc,Snap25
540,Rad52,Fos
541,Sltm,Rian
542,Tspan32,Stt3a
543,Apobec1,C3ar1
544,Gm11946,Kdr
545,Nhej1,Mad2l1
546,Reln,Matn2
547,Sult1d1,Ceacam12
548,Setx,Slco4a1
549,Mill2,Cybrd1
550,Mapk8ip1,Myom1
551,Ankzf1,Ccna2
552,Kmt5c,Trip6
553,Ets1,Smoc2
554,Tmem173,Wapl
555,Palm,Nsg1
556,Htr4,Slc30a7
557,Armc1,Ccnb1
558,Pan3,B3galt2
559,E2f3,Mcm6
560,Phip,Gfi1
561,Akna,Zbtb20
562,Apol7c,Adgre1
563,Guca2b,Cald1
564,Srgn,Fxyd2
565,Siglecg,Hspbap1
566,Mndal,Emp3
567,Mettl14,Lhfp
568,Il16,Mcoln2
569,Rab34,Hspe1
570,Alg11,Kif5a
571,Adam8,Mmp13
572,Pld4,Scn7a
573,Dock2,Snhg1
